Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Package ID,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID,Sales Channel
GPA.3347-2141-5861-66133,"Feb 1, 2026",12:09:21 PM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,cheetah,DK,,3400,DKK,-2.28,1.000000,DKK,-2.28,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,In-app
GPA.3356-4453-1988-91463..5,"Feb 1, 2026",4:18:15 PM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,AU,QLD,4814,AUD,3.26,4.376600,DKK,14.27,prosub,,4994183596643847628,Yes,,,,
GPA.3356-4453-1988-91463..5,"Feb 1, 2026",4:18:15 PM PST,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,AU,QLD,4814,AUD,-0.49,4.376600,DKK,-2.14,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3395-2611-2788-08081,"Feb 1, 2026",5:18:31 PM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,a53x,US,FL,34221,USD,2.49,6.296800,DKK,15.68,prosub,,4994183596643847628,Yes,,,,In-app
GPA.3395-2611-2788-08081,"Feb 1, 2026",5:18:31 PM PST,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,a53x,US,FL,34221,USD,-0.37,6.296800,DKK,-2.33,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,In-app
GPA.3346-3307-4283-29868,"Feb 1, 2026",5:23:54 PM PST,,Charge,,Pro (WF Solver),com.deepinkcode.wordfeudsolver,One-time product,pro,x1q,US,LA,71101,USD,27.99,6.296800,DKK,176.25,legacy-base,,4994183596643847628,Yes,,,,In-app
GPA.3346-3307-4283-29868,"Feb 1, 2026",5:23:54 PM PST,,Google fee,,Pro (WF Solver),com.deepinkcode.wordfeudsolver,One-time product,pro,x1q,US,LA,71101,USD,-4.20,6.296800,DKK,-26.45,legacy-base,,4994183596643847628,Yes,15,,,In-app
GPA.3345-5971-8291-28363,"Feb 1, 2026",6:42:34 PM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,dm3q,DK,,5883,DKK,15.20,1.000000,DKK,15.20,prosubmonth,,4994183596643847628,Yes,,,,Play store
GPA.3345-5971-8291-28363,"Feb 1, 2026",6:42:34 PM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,dm3q,DK,,5883,DKK,-2.28,1.000000,DKK,-2.28,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,Play store
GPA.3324-2289-2718-99084..1,"Feb 1, 2026",8:15:25 PM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,US,WV,25143,USD,2.49,6.293100,DKK,15.67,prosub,,4994183596643847628,Yes,,,,
